시도교육청,교육지원청,지역,정보공시학교코드,학교명,학교급코드,설립구분,주야간,제외여부,제외사유,1학년학급수,1학년학생수,1학년학급당학생수,2학년학급수,2학년학생수,2학년학급당학생수,3학년학급수,3학년학생수,3학년학급당학생수,특수학급학급수,특수학급학생수,특수학급학급당학생수,순회학급학급수,순회학급학생수,순회학급학급당학생수,학급수계,학생수계,학급당학생수계,교사수계,수업교원1인당학생수,학교급,담당자,학교특성,특성화고 구분,특성화고 담당자
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090004861,망포중학교,3,공립,주간,N,,10,332,33.2,12,390,32.5,12,373,31.1,1,3,3,0,0,0,35,1098,31.4,62,17.7,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090005577,매원고등학교,4,공립,주간,N,,11,266,24.2,11,288,26.2,11,311,28.3,1,4,4,1,1,1,35,870,24.9,66,13.2,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002414,매원중학교,3,공립,주간,N,,4,111,27.8,6,160,26.7,5,140,28,1,3,3,0,0,0,16,414,25.9,27,15.3,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090004902,매탄고등학교,4,공립,주간,N,,12,307,25.6,12,329,27.4,12,359,29.9,2,12,6,1,1,1,39,1008,25.8,74,13.6,고등,송훈재,일반고등학교,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090005694,매탄중학교,3,공립,주간,N,,8,231,28.9,6,177,29.5,9,255,28.3,1,4,4,0,0,0,24,667,27.8,41,16.3,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002416,매현중학교,3,공립,주간,N,,5,134,26.8,6,152,25.3,6,154,25.7,1,4,4,0,0,0,18,444,24.7,34,13.1,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090002419,산남중학교,3,공립,주간,N,,10,271,27.1,8,224,28,10,266,26.6,2,14,7,1,3,3,31,778,25.1,54,14.4,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090006781,수원다산중학교,3,공립,주간,N,,11,372,33.8,11,359,32.6,11,351,31.9,1,7,7,0,0,0,34,1089,32,60,18.2,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090005284,수원외국어고등학교,4,공립,주간,N,,8,214,26.8,8,198,24.8,8,198,24.8,0,0,0,0,0,0,24,610,25.4,52,11.7,고등,송훈재,특수목적고등학교,,송훈재
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090005767,수원원일중학교,3,공립,주간,N,,2,29,14.5,2,32,16,1,25,25,0,0,0,0,0,0,5,86,17.2,13,6.6,중등,송훈재,,,
경기도교육청,경기도수원교육지원청,경기도수원시영통구,S090000651,수원정보과학고등학교,4,공립,주간,N,,8,178,22.3,8,141,17.6,8,149,18.6,3,22,7.3,0,0,0,27,490,18.1,58,8.4,고등,송훈재,특성화고등학교,특성화고등학교,송훈재
